YEAR	SOURCE	RECEIVER	LN_TRADE
1989	DZA	BOL	0.0
1989	BOL	DZA	15.2186476099197
1990	DZA	BOL	0.0
1990	BOL	DZA	0.0
1991	DZA	BOL	0.0
1991	BOL	DZA	0.0
1992	DZA	BOL	10.2285774414504
1992	BOL	DZA	16.2665321033939
1993	DZA	BOL	11.9338401840855
1993	BOL	DZA	0.0
1994	DZA	BOL	11.0026076744484
1994	BOL	DZA	6.98297541440784
1995	DZA	BOL	10.7864152789769
1995	BOL	DZA	9.4407941462564
1996	DZA	BOL	9.95069629756858
1996	BOL	DZA	0.0
1997	DZA	BOL	9.08965534925173
1997	BOL	DZA	0.0
1998	DZA	BOL	0.0
1998	BOL	DZA	8.63731535693134
1999	DZA	BOL	10.8668597466825
1999	BOL	DZA	0.0
2000	DZA	BOL	0.0
2000	BOL	DZA	0.0
1981	DZA	BRA	20.1686183630225
1981	BRA	DZA	20.2275034263892
1982	DZA	BRA	19.6163176260065
1982	BRA	DZA	19.5901183072425
1983	DZA	BRA	19.4571361723528
1983	BRA	DZA	19.6296149460562
1984	DZA	BRA	19.1904919042369
1984	BRA	DZA	19.9639581649036
1985	DZA	BRA	19.6196895922353
1985	BRA	DZA	19.934566589866
1986	DZA	BRA	18.9503377351302
1986	BRA	DZA	19.6802948170338
1987	DZA	BRA	19.0941208967111
1987	BRA	DZA	19.6977141316723
1988	DZA	BRA	18.7791946914551
1988	BRA	DZA	19.1009415673932
1989	DZA	BRA	19.4755792374628
1989	BRA	DZA	19.040515284668
1990	DZA	BRA	19.5973406513693
1990	BRA	DZA	18.5879086315046
1991	DZA	BRA	19.6025829074426
1991	BRA	DZA	18.5164778255852
1992	DZA	BRA	19.8512676686431
1992	BRA	DZA	17.7348556497042
1993	DZA	BRA	20.298845252212
1993	BRA	DZA	18.3653848121583
1994	DZA	BRA	19.5959509301849
1994	BRA	DZA	18.8051621225092
1995	DZA	BRA	19.4729176176865
1995	BRA	DZA	18.850176448396
1996	DZA	BRA	20.4708976305396
1996	BRA	DZA	19.0425488048426
1997	DZA	BRA	20.593332022458
1997	BRA	DZA	18.3526723419819
1998	DZA	BRA	20.4162737006439
1998	BRA	DZA	17.9247551033832
1999	DZA	BRA	20.8030753761662
1999	BRA	DZA	18.5005420681181
2000	DZA	BRA	21.1860861283119
2000	BRA	DZA	17.8457824283113
1981	DZA	CAN	20.2513560298056
1981	CAN	DZA	20.4188860376239
1982	DZA	CAN	19.7443987437713
1982	CAN	DZA	20.4578459929479
1983	DZA	CAN	19.1652327557547
1983	CAN	DZA	20.3150583770929
1984	DZA	CAN	19.7888079144757
1984	CAN	DZA	20.3085469259014
1985	DZA	CAN	19.7484056904537
1985	CAN	DZA	20.2835007492025
1986	DZA	CAN	16.3809464666082
1986	CAN	DZA	19.5831210237682
1987	DZA	CAN	17.0464360709661
1987	CAN	DZA	19.1213748675193
1988	DZA	CAN	16.8451413432978
1988	CAN	DZA	19.3718982752796
1989	DZA	CAN	17.3683190854916
1989	CAN	DZA	19.9256357066804
1990	DZA	CAN	18.0646492106329
1990	CAN	DZA	19.8500380137135
1991	DZA	CAN	18.0165694163604
1991	CAN	DZA	19.3465845513508
1992	DZA	CAN	18.4199415423069
1992	CAN	DZA	19.2104763858012
1993	DZA	CAN	19.1532428749788
1993	CAN	DZA	19.5041923842658
1994	DZA	CAN	19.193530073106
1994	CAN	DZA	19.9138967322322
1995	DZA	CAN	19.4713911495331
1995	CAN	DZA	20.0527317912571
1996	DZA	CAN	20.2028468938754
1996	CAN	DZA	19.7824183583266
1997	DZA	CAN	19.9747470408429
1997	CAN	DZA	20.0783448461859
1998	DZA	CAN	19.7907319032549
1998	CAN	DZA	20.13035390059
1999	DZA	CAN	19.9355923008562
1999	CAN	DZA	19.8038802380298
2000	DZA	CAN	20.5473772541344
2000	CAN	DZA	19.673026531154
1981	DZA	CHL	9.90680070484528
1981	CHL	DZA	7.80015225401318
1982	DZA	CHL	0.0
1982	CHL	DZA	12.5397559151749
1983	DZA	CHL	0.0
1983	CHL	DZA	0.0
1984	DZA	CHL	0.0
1984	CHL	DZA	10.8310900224365
1985	DZA	CHL	12.0008404583827
1985	CHL	DZA	0.0
1986	DZA	CHL	12.6180986956759
1986	CHL	DZA	11.436122238388
1987	DZA	CHL	11.1797027808578
1987	CHL	DZA	0.0
1988	DZA	CHL	12.0919249503699
1988	CHL	DZA	0.0
1989	DZA	CHL	13.8337734552598
1989	CHL	DZA	14.3971646415582
1990	DZA	CHL	13.991425353021
1990	CHL	DZA	0.0
1991	DZA	CHL	10.713896634454
1991	CHL	DZA	12.4316387227127
1992	DZA	CHL	0.0
1992	CHL	DZA	12.9920154445192
1993	DZA	CHL	0.0
1993	CHL	DZA	9.0178138694953
1994	DZA	CHL	15.6224326506582
1994	CHL	DZA	0.0
1995	DZA	CHL	0.0
1995	CHL	DZA	12.9444783206797
1996	DZA	CHL	8.95466893771712
1996	CHL	DZA	10.9925780109471
1997	DZA	CHL	0.0
1997	CHL	DZA	0.0
1998	DZA	CHL	15.4018727678122
1998	CHL	DZA	9.18272853941618
1999	DZA	CHL	14.4565407967616
1999	CHL	DZA	13.4301669091672
2000	DZA	CHL	16.7651173713695
2000	CHL	DZA	14.0151414402808
1981	DZA	COL	9.3951898090945
1981	COL	DZA	17.7530633156229
1982	DZA	COL	0.0
1982	COL	DZA	17.6806357328702
1983	DZA	COL	0.0
1983	COL	DZA	16.6052971004997
1984	DZA	COL	0.0
1984	COL	DZA	17.5490973124969
1985	DZA	COL	0.0
1985	COL	DZA	17.7625718339206
1986	DZA	COL	0.0
1986	COL	DZA	14.6289980773231
1987	DZA	COL	0.0
1987	COL	DZA	16.884593955929
1988	DZA	COL	0.0
1988	COL	DZA	17.0771128020269
1989	DZA	COL	11.0720434613033
1989	COL	DZA	0.0
1990	DZA	COL	0.0
1990	COL	DZA	0.0
1991	DZA	COL	7.21998060291883
1991	COL	DZA	0.0
1992	DZA	COL	9.57331240409454
1992	COL	DZA	14.6902001836809
1993	DZA	COL	8.87669672627282
1993	COL	DZA	15.6603391361999
1994	DZA	COL	11.676062517156
1994	COL	DZA	11.6446197105468
1995	DZA	COL	10.3696111247165
1995	COL	DZA	16.429903240529
1996	DZA	COL	0.0
1996	COL	DZA	16.7997154348392
1997	DZA	COL	6.70227490469511
1997	COL	DZA	11.1747773538274
1998	DZA	COL	12.2306381035456
1998	COL	DZA	14.9848369504953
1999	DZA	COL	9.18439060395074
1999	COL	DZA	15.0285400049639
2000	DZA	COL	10.4050201293905
2000	COL	DZA	9.47937465005548
1981	DZA	CRI	0.0
1981	CRI	DZA	0.0
1982	DZA	CRI	0.0
1982	CRI	DZA	16.2847866634453
1983	DZA	CRI	0.0
1983	CRI	DZA	0.0
1984	DZA	CRI	10.5910619432432
1984	CRI	DZA	0.0
1985	DZA	CRI	0.0
1985	CRI	DZA	0.0
1986	DZA	CRI	0.0
1986	CRI	DZA	0.0
1987	DZA	CRI	0.0
1987	CRI	DZA	0.0
1988	DZA	CRI	0.0
1988	CRI	DZA	0.0
1989	DZA	CRI	0.0
1989	CRI	DZA	0.0
1990	DZA	CRI	0.0
1990	CRI	DZA	15.0190551635873
1991	DZA	CRI	0.0
1991	CRI	DZA	8.46158454781612
1992	DZA	CRI	0.0
1992	CRI	DZA	15.0819211843618
1993	DZA	CRI	14.802997979401
1993	CRI	DZA	0.0
1994	DZA	CRI	0.0
1994	CRI	DZA	7.15303262732493
1995	DZA	CRI	0.0
1995	CRI	DZA	14.629338053326
1996	DZA	CRI	8.50330406588462
1996	CRI	DZA	13.4539381863863
1997	DZA	CRI	10.2302324581374
1997	CRI	DZA	10.4943666790288
1998	DZA	CRI	0.0
1998	CRI	DZA	0.0
1999	DZA	CRI	0.0
1999	CRI	DZA	8.85582036739206
2000	DZA	CRI	6.97260625130175
2000	CRI	DZA	9.63717550582054
1981	DZA	CYP	17.7043526544322
1981	CYP	DZA	14.7331969477978
1982	DZA	CYP	14.0123127461005
1982	CYP	DZA	13.3482377094865
1983	DZA	CYP	16.3959001820462
1983	CYP	DZA	13.8703116050358
1984	DZA	CYP	16.8327948667234
1984	CYP	DZA	14.018548250996
1985	DZA	CYP	16.5223083056813
1985	CYP	DZA	14.068531125583
1986	DZA	CYP	16.9119994432752
1986	CYP	DZA	14.1437596176802
1987	DZA	CYP	16.0901698206252
1987	CYP	DZA	15.0683547595787
1988	DZA	CYP	16.9121118702823
1988	CYP	DZA	13.6383694411467
1989	DZA	CYP	16.877533596041
1989	CYP	DZA	12.5167455095746
1990	DZA	CYP	17.5607680294782
1990	CYP	DZA	11.6381424005275
1991	DZA	CYP	17.5512472935949
1991	CYP	DZA	10.7456850461365
1992	DZA	CYP	17.1865284728393
1992	CYP	DZA	15.22713814055
1993	DZA	CYP	16.2962900469618
1993	CYP	DZA	13.8907632157435
1994	DZA	CYP	16.7347475337692
1994	CYP	DZA	14.0206803858132
1995	DZA	CYP	14.7685363876373
1995	CYP	DZA	10.3325275628551
1996	DZA	CYP	0.0
1996	CYP	DZA	12.6170975085242
1997	DZA	CYP	12.8605149084896
1997	CYP	DZA	12.3669290400439
1998	DZA	CYP	12.9387662206301
1998	CYP	DZA	13.0779552646337
1999	DZA	CYP	13.3537962419403
1999	CYP	DZA	14.5392585611071
2000	DZA	CYP	9.84897856703573
2000	CYP	DZA	14.0720556159525
1981	DZA	DNK	16.9783133757185
1981	DNK	DZA	19.1186919279099
1982	DZA	DNK	18.023871645934
1982	DNK	DZA	18.0589662154475
1983	DZA	DNK	14.0624424188992
1983	DNK	DZA	18.9040652791796
1984	DZA	DNK	16.1241462137568
1984	DNK	DZA	19.2586388296513
1985	DZA	DNK	16.992697140692
1985	DNK	DZA	18.6804821420947
1986	DZA	DNK	16.9019306638932
1986	DNK	DZA	17.677288089039
1987	DZA	DNK	17.7946552118433
1987	DNK	DZA	17.7391434734312
1988	DZA	DNK	16.9841200626392
1988	DNK	DZA	17.3686306707791
1989	DZA	DNK	15.3747682642778
1989	DNK	DZA	17.6416054627901
1990	DZA	DNK	15.5941956625732
1990	DNK	DZA	18.0055219273447
1991	DZA	DNK	16.5624170095614
1991	DNK	DZA	17.9310905611038
1992	DZA	DNK	14.0516423114035
1992	DNK	DZA	17.6677195079987
1993	DZA	DNK	17.1641865543225
1993	DNK	DZA	17.0507567082494
1994	DZA	DNK	17.6799039674424
1994	DNK	DZA	17.0637519018231
1995	DZA	DNK	16.2450555919734
1995	DNK	DZA	16.8738896241355
1996	DZA	DNK	12.3088971863701
1996	DNK	DZA	17.134326624903
1997	DZA	DNK	10.0108054689915
1997	DNK	DZA	17.2599130361675
1998	DZA	DNK	16.231030255887
1998	DNK	DZA	17.5556424593999
1999	DZA	DNK	15.2883366329095
1999	DNK	DZA	17.1708518119592
2000	DZA	DNK	16.6995197285738
2000	DNK	DZA	17.1271168380067
1981	DZA	ECU	0.0
1981	ECU	DZA	13.2705981087314
1982	DZA	ECU	0.0
1982	ECU	DZA	14.593789344713
1983	DZA	ECU	0.0
1983	ECU	DZA	15.3141409404993
1984	DZA	ECU	0.0
1984	ECU	DZA	9.22676537526833
1985	DZA	ECU	0.0
1985	ECU	DZA	0.0
1986	DZA	ECU	15.7321979127632
1986	ECU	DZA	13.4813754800296
1987	DZA	ECU	0.0
1987	ECU	DZA	16.6133968499719
1988	DZA	ECU	0.0
1988	ECU	DZA	0.0
1989	DZA	ECU	16.4624523592269
1989	ECU	DZA	15.8467576853091
1990	DZA	ECU	9.8010314691832
1990	ECU	DZA	15.5578555866613
1991	DZA	ECU	10.4641093792416
1991	ECU	DZA	11.148634557192
1992	DZA	ECU	0.0
1992	ECU	DZA	14.4350586110084
1993	DZA	ECU	0.0
1993	ECU	DZA	0.0
1994	DZA	ECU	0.0
1994	ECU	DZA	8.89487841609242
1995	DZA	ECU	16.6785257486484
1995	ECU	DZA	16.4061274517165
1996	DZA	ECU	0.0
1996	ECU	DZA	15.2269028941713
1997	DZA	ECU	15.5554461972769
1997	ECU	DZA	12.4697047543975
1998	DZA	ECU	0.0
1998	ECU	DZA	0.0
1999	DZA	ECU	16.7988418354424
1999	ECU	DZA	9.7681278388906
2000	DZA	ECU	0.0
2000	ECU	DZA	9.27743811550868
1981	DZA	EGY	10.3886225138454
1981	EGY	DZA	8.90853259726075
1982	DZA	EGY	14.9454727875933
1982	EGY	DZA	0.0
1983	DZA	EGY	15.2428543547257
1983	EGY	DZA	14.4264177903715
1984	DZA	EGY	14.3023528752177
1984	EGY	DZA	14.6389152926002
1985	DZA	EGY	14.0244150165743
1985	EGY	DZA	16.3343568116728
1986	DZA	EGY	10.373423490166
1986	EGY	DZA	16.3463105405412
1987	DZA	EGY	10.9577465799706
1987	EGY	DZA	17.0322663208913
1988	DZA	EGY	14.0162621845248
1988	EGY	DZA	16.7804839320249
1989	DZA	EGY	15.3993850110698
1989	EGY	DZA	16.6990996860843
1990	DZA	EGY	16.2740598388884
1990	EGY	DZA	16.0487980919232
1991	DZA	EGY	15.7277107035866
1991	EGY	DZA	15.7268698959889
1992	DZA	EGY	12.9591885035026
1992	EGY	DZA	17.9618550675687
1993	DZA	EGY	11.0597221234755
1993	EGY	DZA	17.8669507482984
1994	DZA	EGY	15.8917531605548
1994	EGY	DZA	18.0983432309755
1995	DZA	EGY	15.8951529953097
1995	EGY	DZA	18.0116792808959
1996	DZA	EGY	14.6652394269106
1996	EGY	DZA	17.5712353581541
1997	DZA	EGY	14.6827986719621
1997	EGY	DZA	17.0185778374315
1998	DZA	EGY	15.7643972022196
1998	EGY	DZA	16.5894240335424
1999	DZA	EGY	16.5293368180229
1999	EGY	DZA	16.1701737309345
2000	DZA	EGY	0.0
2000	EGY	DZA	16.9737154874454
1981	DZA	SLV	0.0
1981	SLV	DZA	13.3457309722658
1982	DZA	SLV	0.0
1982	SLV	DZA	0.0
1983	DZA	SLV	0.0
1983	SLV	DZA	0.0
1984	DZA	SLV	0.0
1984	SLV	DZA	0.0
1985	DZA	SLV	0.0
1985	SLV	DZA	12.0798762824949
1986	DZA	SLV	0.0
1986	SLV	DZA	14.1453266889132
1987	DZA	SLV	0.0
1987	SLV	DZA	0.0
1988	DZA	SLV	0.0
