date	c1	c2	c1_ctxt_l	c1_ctxt_r	c2_ctxt_l	c2_ctxt_r
20030306	FJI	TMP		soldiers,trap,hoodlums,in	soldiers,trap,hoodlums,in	
20030306	FRA	IRQ	war,no,barrier,to,armstrongs,tour,de			war,no,barrier,to,armstrongs,tour,de
20030306	ISR	PSE		raids	raids	strip,in,retaliation,for,suicide
20030306	CHN	NZL	inclusion,eyes		nbl,defends	inclusion,eyes
20030306	CHN	USA	secrets,to		space,giants,admit,passing	secrets,to
20030306	ISR	PSE	killed,in	raid,on	third	killed,in
20030306	PSE	PSE	third	killed,in	raid,on	
20030306	ISR	PSE	killed,in	raid,on	raid,on	
20030306	PRK	USA	deployment,to	shouldnt,be,over		deployment,to
20030306	IRQ	USA	expels,two,members,of	un,mission		expels,two,members,of
20030306	PAK	ZWE	fans,arrested,at	match		fans,arrested,at
20030307	IRQ	KWT	gaps,in			border,fence,access,for
20030307	IRQ	USA	gaps,in		border,fence,access,for	
20030307	KWT	USA		border,fence,access,for	border,fence,access,for	
20030307	IND	KEN		wont,repeat	wont,repeat	mistake,ganguly
20030307	ISR	PSE		tanks,occupy,northern	tanks,occupy,northern	strip
20030307	IND	KEN	opts,to,bat,against			opts,to,bat,against
20030307	IRQ	KWT	large,holes,made,in			border,fence
20030307	IRQ	TUR	military,heads,to	border		military,heads,to
20030307	GBR	GBR		and	and	in,wooden,spoon,chase
20030308	AUS	IRQ		orders,embassy,spy,home,to	orders,embassy,spy,home,to	
20030308	MMR	USA		claims	claims	black,list,is,unfair
20030308	IND	USA		muslims,march,against	muslims,march,against	threats
20030308	IRQ	NZL		dominates,pms	dominates,pms	trip
20030308	PRK	USA		spokesman,gives	spokesman,gives	ominous,warning
20030309	AUS	NZL		and	and	celebrate,trade,agreement
20030309	AUS	NZL				fail,to,reach,agreement,on
20030309	AUS	IRQ			fail,to,reach,agreement,on	
20030309	IRQ	NZL	fail,to,reach,agreement,on			fail,to,reach,agreement,on
20030309	AUS	NZL				
20030309	AUS	IRQ				differences,wont,affect,trade,howard
20030309	IRQ	NZL		differences,wont,affect,trade,howard		
20030309	NZL	USA	trade,deal,wont,shut,out		howard,promises	trade,deal,wont,shut,out
20030309	IRQ	USA		says	says	uses,false,pretexts,to,expel,envoys
20030309	IRQ	USA		scraps,more,missiles,amid	scraps,more,missiles,amid	
20030309	GBR	IRQ		threat		scraps,more,missiles,amid
20030309	GBR	USA		threat	scraps,more,missiles,amid	
20030309	PRK	USA		wanted,to,take	wanted,to,take	spy,plane,crew,hostage
20030309	AUS	IRQ	reports,of	troops,in	troops,in	offensive,hill
20030309	GBR	RUS	says	resolution,on		says
20030309	IRQ	RUS	resolution,on	is		says
20030309	GBR	IRQ	says	resolution,on	resolution,on	is
20030309	TUR	USA		pm,in,waiting,favours	pm,in,waiting,favours	troops,deal
20030309	IRQ	KWT	un,border,observers,withdrawn,from			
20030309	SAU	USA	soldiers,spotted,at	airport		soldiers,spotted,at
20030310	AUS	IRQ		angle	add	
20030310	AUS	USA		surfers,edge	surfers,edge	rivals
20030310	AUS	CHN		coal,exporters,pip	coal,exporters,pip	challengers
20030310	GBR	IRQ		troops,prepare,for	troops,prepare,for	invasion
20030310	AUS	USA	pressured	to,expel	downer,denies	pressured
20030310	IRQ	USA	asked,for,expulsion,of		embassy,reveals	asked,for,expulsion,of
20030310	FRA	IRQ		rallies,support,for,new	rallies,support,for,new	resolution
20030310	IRQ	USA		diplomat,probe,prompted,by	diplomat,probe,prompted,by	says,downer
20030310	IDN	IRQ	wont,feature,in	talks,downer,says		wont,feature,in
20030310	JPN	PRK		plays,down	plays,down	missile,launch
20030310	IRQ	USA	uk,warplanes,attack	targets		uk,warplanes,attack
20030311	GBR	USA				lobby,for,more,draft,resolution,support
20030311	IRN	USA		rejects	rejects	claim,it,has,military,nuclear
20030311	IRQ	USA	looming	conflict,holds	conflict,holds	markets,hostage
20030311	IRQ	ROU	expels,five	diplomats		expels,five
20030311	IRQ	USA	diplomat,resigns,over	war,plans		diplomat,resigns,over
20030312	CUB	USA	in		calls,to,help,australians,held,by	in
